File,aid,Date,2116,2120,2185,2189,63999
_250m_16_days_VI_Quality_2001145_aid0001,aid0001,2001-05-25 00:00:00+00:00,14025,,,,
_250m_16_days_VI_Quality_2001161_aid0001,aid0001,2001-06-10 00:00:00+00:00,13769,256.0,,,
_250m_16_days_VI_Quality_2001177_aid0001,aid0001,2001-06-26 00:00:00+00:00,13998,24.0,,,3.0
_250m_16_days_VI_Quality_2001193_aid0001,aid0001,2001-07-12 00:00:00+00:00,13978,47.0,,,
_250m_16_days_VI_Quality_2001209_aid0001,aid0001,2001-07-28 00:00:00+00:00,14012,13.0,,,
_250m_16_days_VI_Quality_2001225_aid0001,aid0001,2001-08-13 00:00:00+00:00,14002,19.0,4.0,,
_250m_16_days_VI_Quality_2001241_aid0001,aid0001,2001-08-29 00:00:00+00:00,13979,32.0,14.0,,
_250m_16_days_VI_Quality_2002145_aid0001,aid0001,2002-05-25 00:00:00+00:00,14011,14.0,,,
_250m_16_days_VI_Quality_2002161_aid0001,aid0001,2002-06-10 00:00:00+00:00,14004,21.0,,,
_250m_16_days_VI_Quality_2002177_aid0001,aid0001,2002-06-26 00:00:00+00:00,13955,56.0,14.0,,
_250m_16_days_VI_Quality_2002193_aid0001,aid0001,2002-07-12 00:00:00+00:00,13983,42.0,,,
_250m_16_days_VI_Quality_2002209_aid0001,aid0001,2002-07-28 00:00:00+00:00,13998,27.0,,,
_250m_16_days_VI_Quality_2002225_aid0001,aid0001,2002-08-13 00:00:00+00:00,14002,23.0,,,
_250m_16_days_VI_Quality_2002241_aid0001,aid0001,2002-08-29 00:00:00+00:00,13759,266.0,,,
_250m_16_days_VI_Quality_2003145_aid0001,aid0001,2003-05-25 00:00:00+00:00,13737,288.0,,,
_250m_16_days_VI_Quality_2003161_aid0001,aid0001,2003-06-10 00:00:00+00:00,14015,10.0,,,
_250m_16_days_VI_Quality_2003177_aid0001,aid0001,2003-06-26 00:00:00+00:00,13998,27.0,,,
_250m_16_days_VI_Quality_2003193_aid0001,aid0001,2003-07-12 00:00:00+00:00,13995,30.0,,,
_250m_16_days_VI_Quality_2003209_aid0001,aid0001,2003-07-28 00:00:00+00:00,13991,34.0,,,
_250m_16_days_VI_Quality_2003225_aid0001,aid0001,2003-08-13 00:00:00+00:00,14001,24.0,,,
_250m_16_days_VI_Quality_2003241_aid0001,aid0001,2003-08-29 00:00:00+00:00,13993,32.0,,,
_250m_16_days_VI_Quality_2004145_aid0001,aid0001,2004-05-24 00:00:00+00:00,14014,11.0,,,
_250m_16_days_VI_Quality_2004161_aid0001,aid0001,2004-06-09 00:00:00+00:00,13997,28.0,,,
_250m_16_days_VI_Quality_2004177_aid0001,aid0001,2004-06-25 00:00:00+00:00,13969,56.0,,,
_250m_16_days_VI_Quality_2004193_aid0001,aid0001,2004-07-11 00:00:00+00:00,13951,74.0,,,
_250m_16_days_VI_Quality_2004209_aid0001,aid0001,2004-07-27 00:00:00+00:00,13979,46.0,,,
_250m_16_days_VI_Quality_2004225_aid0001,aid0001,2004-08-12 00:00:00+00:00,13938,87.0,,,
_250m_16_days_VI_Quality_2004241_aid0001,aid0001,2004-08-28 00:00:00+00:00,13969,56.0,,,
_250m_16_days_VI_Quality_2005145_aid0001,aid0001,2005-05-25 00:00:00+00:00,14001,24.0,,,
_250m_16_days_VI_Quality_2005161_aid0001,aid0001,2005-06-10 00:00:00+00:00,13970,55.0,,,
_250m_16_days_VI_Quality_2005177_aid0001,aid0001,2005-06-26 00:00:00+00:00,13977,48.0,,,
_250m_16_days_VI_Quality_2005193_aid0001,aid0001,2005-07-12 00:00:00+00:00,13991,34.0,,,
_250m_16_days_VI_Quality_2005209_aid0001,aid0001,2005-07-28 00:00:00+00:00,13933,92.0,,,
_250m_16_days_VI_Quality_2005225_aid0001,aid0001,2005-08-13 00:00:00+00:00,13971,18.0,31.0,5.0,
_250m_16_days_VI_Quality_2005241_aid0001,aid0001,2005-08-29 00:00:00+00:00,14012,13.0,,,
_250m_16_days_VI_Quality_2006145_aid0001,aid0001,2006-05-25 00:00:00+00:00,13991,34.0,,,
_250m_16_days_VI_Quality_2006161_aid0001,aid0001,2006-06-10 00:00:00+00:00,14025,,,,
_250m_16_days_VI_Quality_2006177_aid0001,aid0001,2006-06-26 00:00:00+00:00,14005,20.0,,,
_250m_16_days_VI_Quality_2006193_aid0001,aid0001,2006-07-12 00:00:00+00:00,13956,69.0,,,
_250m_16_days_VI_Quality_2006209_aid0001,aid0001,2006-07-28 00:00:00+00:00,13959,66.0,,,
_250m_16_days_VI_Quality_2006225_aid0001,aid0001,2006-08-13 00:00:00+00:00,14012,13.0,,,
_250m_16_days_VI_Quality_2006241_aid0001,aid0001,2006-08-29 00:00:00+00:00,13997,28.0,,,
_250m_16_days_VI_Quality_2007145_aid0001,aid0001,2007-05-25 00:00:00+00:00,13977,48.0,,,
_250m_16_days_VI_Quality_2007161_aid0001,aid0001,2007-06-10 00:00:00+00:00,13961,64.0,,,
_250m_16_days_VI_Quality_2007177_aid0001,aid0001,2007-06-26 00:00:00+00:00,13909,116.0,,,
_250m_16_days_VI_Quality_2007193_aid0001,aid0001,2007-07-12 00:00:00+00:00,13897,128.0,,,
_250m_16_days_VI_Quality_2007209_aid0001,aid0001,2007-07-28 00:00:00+00:00,13913,112.0,,,
_250m_16_days_VI_Quality_2007225_aid0001,aid0001,2007-08-13 00:00:00+00:00,13926,99.0,,,
_250m_16_days_VI_Quality_2007241_aid0001,aid0001,2007-08-29 00:00:00+00:00,13963,62.0,,,
_250m_16_days_VI_Quality_2008145_aid0001,aid0001,2008-05-24 00:00:00+00:00,13990,35.0,,,
_250m_16_days_VI_Quality_2008161_aid0001,aid0001,2008-06-09 00:00:00+00:00,13965,60.0,,,
_250m_16_days_VI_Quality_2008177_aid0001,aid0001,2008-06-25 00:00:00+00:00,13978,47.0,,,
_250m_16_days_VI_Quality_2008193_aid0001,aid0001,2008-07-11 00:00:00+00:00,13944,81.0,,,
_250m_16_days_VI_Quality_2008209_aid0001,aid0001,2008-07-27 00:00:00+00:00,13931,94.0,,,
_250m_16_days_VI_Quality_2008225_aid0001,aid0001,2008-08-12 00:00:00+00:00,13975,50.0,,,
_250m_16_days_VI_Quality_2008241_aid0001,aid0001,2008-08-28 00:00:00+00:00,14015,,10.0,,
_250m_16_days_VI_Quality_2009145_aid0001,aid0001,2009-05-25 00:00:00+00:00,13962,63.0,,,
_250m_16_days_VI_Quality_2009161_aid0001,aid0001,2009-06-10 00:00:00+00:00,13942,78.0,5.0,,
_250m_16_days_VI_Quality_2009177_aid0001,aid0001,2009-06-26 00:00:00+00:00,13914,110.0,1.0,,
_250m_16_days_VI_Quality_2009193_aid0001,aid0001,2009-07-12 00:00:00+00:00,13954,71.0,,,
_250m_16_days_VI_Quality_2009209_aid0001,aid0001,2009-07-28 00:00:00+00:00,13938,87.0,,,
_250m_16_days_VI_Quality_2009225_aid0001,aid0001,2009-08-13 00:00:00+00:00,13987,38.0,,,
_250m_16_days_VI_Quality_2009241_aid0001,aid0001,2009-08-29 00:00:00+00:00,13913,112.0,,,
_250m_16_days_VI_Quality_2010145_aid0001,aid0001,2010-05-25 00:00:00+00:00,13840,138.0,47.0,,
_250m_16_days_VI_Quality_2010161_aid0001,aid0001,2010-06-10 00:00:00+00:00,13947,73.0,5.0,,
_250m_16_days_VI_Quality_2010177_aid0001,aid0001,2010-06-26 00:00:00+00:00,13874,146.0,,5.0,
_250m_16_days_VI_Quality_2010193_aid0001,aid0001,2010-07-12 00:00:00+00:00,13903,118.0,,4.0,
_250m_16_days_VI_Quality_2010209_aid0001,aid0001,2010-07-28 00:00:00+00:00,13852,33.0,125.0,15.0,
_250m_16_days_VI_Quality_2010225_aid0001,aid0001,2010-08-13 00:00:00+00:00,13978,42.0,5.0,,
_250m_16_days_VI_Quality_2010241_aid0001,aid0001,2010-08-29 00:00:00+00:00,13920,105.0,,,
_250m_16_days_VI_Quality_2011145_aid0001,aid0001,2011-05-25 00:00:00+00:00,13911,111.0,3.0,,
_250m_16_days_VI_Quality_2011161_aid0001,aid0001,2011-06-10 00:00:00+00:00,13978,36.0,9.0,2.0,
