File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2001145000000_aid0001,_250m_16_days_NDVI,aid0001,2001-05-25,14025.0,0.0976,0.7895,"(0.0976,0.7895)",0.1482557,0.04537,0.0020584,0.1389,0.1509,0.1343,0.1189,0.1309
MOD13Q1_061__250m_16_days_NDVI_doy2001161000000_aid0001,_250m_16_days_NDVI,aid0001,2001-06-10,14025.0,0.0911,0.8087,"(0.0911,0.8087)",0.1410143,0.0308137,0.0009495,0.1379,0.1494,0.134,0.1187,0.1302
MOD13Q1_061__250m_16_days_NDVI_doy2001177000000_aid0001,_250m_16_days_NDVI,aid0001,2001-06-26,14022.0,0.0835,0.7797,"(0.0835,0.7797)",0.1371897,0.0301673,0.0009101,0.1404,0.1588,0.1351,0.1097,0.1281
MOD13Q1_061__250m_16_days_NDVI_doy2001193000000_aid0001,_250m_16_days_NDVI,aid0001,2001-07-12,14025.0,0.0938,0.795,"(0.0938,0.795)",0.1370257,0.0334193,0.0011168,0.1367,0.1484,0.133,0.1172,0.1289
MOD13Q1_061__250m_16_days_NDVI_doy2001209000000_aid0001,_250m_16_days_NDVI,aid0001,2001-07-28,14025.0,0.0928,0.7603,"(0.0928,0.7603)",0.137204,0.0345199,0.0011916,0.1369,0.1486,0.1334,0.1174,0.1291
MOD13Q1_061__250m_16_days_NDVI_doy2001225000000_aid0001,_250m_16_days_NDVI,aid0001,2001-08-13,14025.0,0.0863,0.6991,"(0.0863,0.6991)",0.1343239,0.0306561,0.0009398,0.1355,0.1478,0.1317,0.115,0.1273
MOD13Q1_061__250m_16_days_NDVI_doy2001241000000_aid0001,_250m_16_days_NDVI,aid0001,2001-08-29,14025.0,0.088,0.8203,"(0.088,0.8203)",0.1322358,0.0363486,0.0013212,0.1329,0.1458,0.1295,0.1114,0.1243
MOD13Q1_061__250m_16_days_NDVI_doy2002145000000_aid0001,_250m_16_days_NDVI,aid0001,2002-05-25,14025.0,0.0938,0.7696,"(0.0938,0.7696)",0.1578643,0.0509792,0.0025989,0.1546,0.1852,0.1388,0.1039,0.1342
MOD13Q1_061__250m_16_days_NDVI_doy2002161000000_aid0001,_250m_16_days_NDVI,aid0001,2002-06-10,14025.0,0.0885,0.8181,"(0.0885,0.8181)",0.147606,0.0394415,0.0015556,0.1451,0.1637,0.1368,0.1142,0.1327
MOD13Q1_061__250m_16_days_NDVI_doy2002177000000_aid0001,_250m_16_days_NDVI,aid0001,2002-06-26,14025.0,0.0958,0.7756,"(0.0958,0.7756)",0.1450569,0.0360889,0.0013024,0.143,0.1577,0.1376,0.1185,0.1332
MOD13Q1_061__250m_16_days_NDVI_doy2002193000000_aid0001,_250m_16_days_NDVI,aid0001,2002-07-12,14025.0,0.0953,0.7536,"(0.0953,0.7536)",0.1417896,0.0380038,0.0014443,0.1399,0.1538,0.1355,0.1167,0.1306
MOD13Q1_061__250m_16_days_NDVI_doy2002209000000_aid0001,_250m_16_days_NDVI,aid0001,2002-07-28,14025.0,0.093,0.7254,"(0.093,0.7254)",0.1389099,0.0348042,0.0012113,0.1392,0.1528,0.1353,0.1165,0.1301
MOD13Q1_061__250m_16_days_NDVI_doy2002225000000_aid0001,_250m_16_days_NDVI,aid0001,2002-08-13,14025.0,0.0886,0.7968,"(0.0886,0.7968)",0.1378137,0.0402627,0.0016211,0.1373,0.1515,0.1334,0.1136,0.1278
MOD13Q1_061__250m_16_days_NDVI_doy2002241000000_aid0001,_250m_16_days_NDVI,aid0001,2002-08-29,14025.0,0.0967,0.7793,"(0.0967,0.7793)",0.1380393,0.0360274,0.001298,0.1383,0.1523,0.1346,0.1148,0.1289
MOD13Q1_061__250m_16_days_NDVI_doy2003145000000_aid0001,_250m_16_days_NDVI,aid0001,2003-05-25,14025.0,0.0923,0.799,"(0.0923,0.799)",0.1522323,0.0468004,0.0021903,0.1446,0.1618,0.1371,0.1159,0.1331
MOD13Q1_061__250m_16_days_NDVI_doy2003161000000_aid0001,_250m_16_days_NDVI,aid0001,2003-06-10,14025.0,0.097,0.7841,"(0.097,0.7841)",0.1479259,0.0431355,0.0018607,0.1443,0.1606,0.1385,0.1171,0.1334
MOD13Q1_061__250m_16_days_NDVI_doy2003177000000_aid0001,_250m_16_days_NDVI,aid0001,2003-06-26,14025.0,0.0963,0.7892,"(0.0963,0.7892)",0.1434893,0.0424186,0.0017993,0.1409,0.1562,0.1361,0.1154,0.1307
MOD13Q1_061__250m_16_days_NDVI_doy2003193000000_aid0001,_250m_16_days_NDVI,aid0001,2003-07-12,14025.0,0.0968,0.8188,"(0.0968,0.8188)",0.1427269,0.0446362,0.0019924,0.1402,0.1549,0.1357,0.1157,0.1304
MOD13Q1_061__250m_16_days_NDVI_doy2003209000000_aid0001,_250m_16_days_NDVI,aid0001,2003-07-28,14025.0,0.0823,0.807,"(0.0823,0.807)",0.1383476,0.0392663,0.0015418,0.1374,0.1527,0.1334,0.1119,0.1272
MOD13Q1_061__250m_16_days_NDVI_doy2003225000000_aid0001,_250m_16_days_NDVI,aid0001,2003-08-13,14025.0,0.0885,0.7456,"(0.0885,0.7456)",0.1392451,0.040507,0.0016408,0.138,0.1525,0.134,0.1138,0.1283
MOD13Q1_061__250m_16_days_NDVI_doy2003241000000_aid0001,_250m_16_days_NDVI,aid0001,2003-08-29,14025.0,0.0824,0.7695,"(0.0824,0.7695)",0.1365567,0.0419138,0.0017568,0.1354,0.1501,0.131,0.1109,0.1256
MOD13Q1_061__250m_16_days_NDVI_doy2004145000000_aid0001,_250m_16_days_NDVI,aid0001,2004-05-24,14025.0,0.0926,0.8091,"(0.0926,0.8091)",0.1596567,0.058304,0.0033994,0.1605,0.202,0.137,0.0926,0.1328
MOD13Q1_061__250m_16_days_NDVI_doy2004161000000_aid0001,_250m_16_days_NDVI,aid0001,2004-06-09,14025.0,0.0979,0.8354,"(0.0979,0.8354)",0.1508928,0.0550027,0.0030253,0.147,0.1702,0.1364,0.1085,0.1315
MOD13Q1_061__250m_16_days_NDVI_doy2004177000000_aid0001,_250m_16_days_NDVI,aid0001,2004-06-25,14025.0,0.0869,0.8119,"(0.0869,0.8119)",0.1496336,0.0545664,0.0029775,0.1442,0.1626,0.1375,0.1135,0.1319
MOD13Q1_061__250m_16_days_NDVI_doy2004193000000_aid0001,_250m_16_days_NDVI,aid0001,2004-07-11,14025.0,0.0953,0.7966,"(0.0953,0.7966)",0.143993,0.0470104,0.00221,0.1416,0.1596,0.1355,0.1117,0.1296
MOD13Q1_061__250m_16_days_NDVI_doy2004209000000_aid0001,_250m_16_days_NDVI,aid0001,2004-07-27,14025.0,0.0906,0.8209,"(0.0906,0.8209)",0.1446175,0.0522877,0.002734,0.1406,0.1569,0.1361,0.1134,0.1297
MOD13Q1_061__250m_16_days_NDVI_doy2004225000000_aid0001,_250m_16_days_NDVI,aid0001,2004-08-12,14025.0,0.0921,0.8593,"(0.0921,0.8593)",0.144487,0.0581163,0.0033775,0.1401,0.1569,0.1352,0.1121,0.1289
MOD13Q1_061__250m_16_days_NDVI_doy2004241000000_aid0001,_250m_16_days_NDVI,aid0001,2004-08-28,14025.0,0.086,0.7887,"(0.086,0.7887)",0.1438448,0.0572661,0.0032794,0.1388,0.1535,0.1342,0.1143,0.129
MOD13Q1_061__250m_16_days_NDVI_doy2005145000000_aid0001,_250m_16_days_NDVI,aid0001,2005-05-25,14025.0,0.099,0.8447,"(0.099,0.8447)",0.1633129,0.0702988,0.0049419,0.1642,0.2084,0.1387,0.099,0.1347
MOD13Q1_061__250m_16_days_NDVI_doy2005161000000_aid0001,_250m_16_days_NDVI,aid0001,2005-06-10,14025.0,0.1013,0.8376,"(0.1013,0.8376)",0.1519175,0.0576773,0.0033267,0.1468,0.1682,0.137,0.1111,0.1325
MOD13Q1_061__250m_16_days_NDVI_doy2005177000000_aid0001,_250m_16_days_NDVI,aid0001,2005-06-26,14025.0,0.0974,0.8351,"(0.0974,0.8351)",0.1508163,0.0622543,0.0038756,0.1443,0.1617,0.1384,0.1153,0.1327
MOD13Q1_061__250m_16_days_NDVI_doy2005193000000_aid0001,_250m_16_days_NDVI,aid0001,2005-07-12,14025.0,0.0964,0.7919,"(0.0964,0.7919)",0.146788,0.0560228,0.0031386,0.1416,0.1575,0.1366,0.1151,0.131
MOD13Q1_061__250m_16_days_NDVI_doy2005209000000_aid0001,_250m_16_days_NDVI,aid0001,2005-07-28,14025.0,0.0877,0.8192,"(0.0877,0.8192)",0.1484539,0.0654113,0.0042786,0.142,0.1594,0.1368,0.113,0.1304
MOD13Q1_061__250m_16_days_NDVI_doy2005225000000_aid0001,_250m_16_days_NDVI,aid0001,2005-08-13,14025.0,0.0914,0.7517,"(0.0914,0.7517)",0.1462918,0.0610924,0.0037323,0.1402,0.1564,0.1351,0.1132,0.1294
MOD13Q1_061__250m_16_days_NDVI_doy2005241000000_aid0001,_250m_16_days_NDVI,aid0001,2005-08-29,14025.0,0.0895,0.8452,"(0.0895,0.8452)",0.1465615,0.0665694,0.0044315,0.1397,0.1559,0.1353,0.1125,0.1288
